Feature,Correlation_with_Yield,Abs_Correlation
Yield_Rolling_Mean_3,0.9604919903032358,0.9604919903032358
Yield_Lag_2,0.8803028443909621,0.8803028443909621
Yield_Lag_1,0.877526829386504,0.877526829386504
Yield_vs_Baseline,0.7833675228864985,0.7833675228864985
Country_Yield_Baseline,0.6215587857046755,0.6215587857046755
Crop_rice_Temp,0.5015763503300663,0.5015763503300663
Extreme_Weather_Risk,-0.46432511817990735,0.46432511817990735
Climate_Stress_Index,0.437483762187652,0.437483762187652
Growing_Season_Quality,0.4351978942955946,0.4351978942955946
Country_Yield_Trend,0.4311113858741164,0.4311113858741164
Temp_Rain_Ratio,0.42229279967252425,0.42229279967252425
Crop_rice_Rain,0.40213252930638527,0.40213252930638527
Crop_wheat_Rain,-0.34274536188685933,0.34274536188685933
Crop_wheat_Temp,-0.2932937187868888,0.2932937187868888
Crop_soybean_Rain,-0.27871336522232903,0.27871336522232903
Temp_Lag_1,0.2538346741360437,0.2538346741360437
Temp_Lag_2,0.2483344905541222,0.2483344905541222
Crop_maize_Temp,0.2014261523244796,0.2014261523244796
Crop_soybean_Temp,-0.1955335036814977,0.1955335036814977
Rain_Lag_1,-0.18895997368184614,0.18895997368184614
Rain_Lag_2,-0.18746965687067943,0.18746965687067943
Years_Since_Baseline,0.10066736251437967,0.10066736251437967
Climate_Change_Index,0.10066736251437962,0.10066736251437962
Decade,0.09782035414883757,0.09782035414883757
CO2_Fertilization_Effect,0.09000824998767201,0.09000824998767201
CO2_Anomaly,0.0899857159829639,0.0899857159829639
Temp_Rolling_Std_3,-0.07041509678595835,0.07041509678595835
Rain_Rolling_Std_3,0.027409722200270017,0.027409722200270017
Climate_CO2_Interaction,0.02448346832265579,0.02448346832265579
Crop_maize_Rain,-0.00616076765143925,0.00616076765143925
