Feature,SHAP_Importance
Yield_vs_Baseline,9.518201
Yield_Rolling_Mean_3,1.7954193
Yield_Lag_2,0.9087616
Yield_Lag_1,0.90807813
Country_Yield_Baseline,0.6436198
Temp_Rain_Ratio,0.28296793
Temp_Rolling_Std_3,0.10502939
Country_Yield_Trend,0.09352347
Rainfall,0.08810995
Rain_Lag_2,0.08269368
Humidity,0.06481498
Temp_Lag_2,0.055918857
Climate_Stress_Index,0.054213047
Temp_Lag_1,0.04930668
CO2_Emission,0.047566127
Rain_Lag_1,0.047089834
Rain_Rolling_Std_3,0.04042584
Crop_soybean_Temp,0.038791865
Climate_CO2_Interaction,0.038353812
Extreme_Weather_Risk,0.03457838
Growing_Season_Quality,0.031032128
Extreme_Weather_Events,0.030761883
Temperature,0.02628336
Years_Since_Baseline,0.026259072
Crop_wheat_Temp,0.022453614
Crop_rice_Temp,0.020173615
Crop_maize_Temp,0.017204385
CO2_Anomaly,0.013493541
Crop_soybean_Rain,0.010838014
Crop_wheat_Rain,0.00863702
Climate_Change_Index,0.008425703
Crop_rice_Rain,0.0071797133
Crop_maize_Rain,0.0065101814
Decade,0.00080175936
CO2_Fertilization_Effect,0.00026080883
