Country,Crop,Year,Temperature,Rainfall,CO2_Emission,Humidity,Yield,Area,Production,Extreme_Weather_Events,Synthetic_Data_Used,Data_Source,Area_outlier,Production_outlier,Extreme_Weather_Events_outlier,outlier_score,Climate_Stress_Index,Temp_Rain_Ratio,Growing_Season_Quality,Extreme_Weather_Risk,Yield_Lag_1,Temp_Lag_1,Rain_Lag_1,Yield_Lag_2,Temp_Lag_2,Rain_Lag_2,Yield_Rolling_Mean_3,Temp_Rolling_Std_3,Rain_Rolling_Std_3,Crop_maize_Temp,Crop_maize_Rain,Crop_rice_Temp,Crop_rice_Rain,Crop_soybean_Temp,Crop_soybean_Rain,Crop_wheat_Temp,Crop_wheat_Rain,Country_Yield_Baseline,Yield_vs_Baseline,Country_Yield_Trend,Years_Since_Baseline,Decade,Climate_Change_Index,CO2_Anomaly,CO2_Fertilization_Effect,Climate_CO2_Interaction
Bangladesh,maize,2000,25.464,2263.271,355.07,77.431,1.458,263650.72,384304.64,5,True,Synthetic,False,False,False,0,-0.49225202199327317,0.011246003680654832,0.4360800000000001,0.56392,,,,,,,1.458,0.0,0.0,25.464,2263.271,0.0,0.0,0.0,0.0,0.0,0.0,1.6484807692307692,-0.1904807692307693,0.00296518723994452,0,2000,0.0,-26.015308653846205,1.1876267498336288,12.806088287634893
Bangladesh,rice,2000,25.593,2217.505,358.959,84.86,2.747,332921.18,914380.0,1,True,Synthetic,False,False,False,0,-0.41552320667941267,0.011536147090044873,0.43221000000000004,0.56779,,,,,,,2.747,0.0,0.0,0.0,0.0,25.593,2217.505,0.0,0.0,0.0,0.0,1.6484807692307692,1.0985192307692306,0.00296518723994452,0,2000,0.0,-22.126308653846195,1.2420928633443953,9.19399472382461
Bangladesh,soybean,2000,23.296,2267.741,348.524,77.699,0.6,227586.96,136552.18,1,True,Synthetic,False,False,False,0,-0.7049828598964831,0.0102682500999453,0.50112,0.49888,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,23.296,2267.741,0.0,0.0,1.6484807692307692,-1.0484807692307694,0.00296518723994452,0,2000,0.0,-32.5613086538462,1.094587456155771,22.9551644967606
Bangladesh,wheat,2000,26.801,2191.542,340.437,78.551,0.6,256961.59,154176.95,4,True,Synthetic,False,False,False,0,-0.57384301269732,0.012223711107928605,0.39597,0.60403,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.801,2191.542,1.6484807692307692,-1.0484807692307694,0.00296518723994452,0,2000,0.0,-40.648308653846186,0.977202416375995,23.32574789897364
Brazil,maize,2000,26.563,1606.255,345.487,68.993,1.767,343325.36,606675.52,2,True,Synthetic,False,False,False,0,-0.28014042153822694,0.016526935676043936,0.40311,0.5968899999999999,,,,,,,1.767,0.0,0.0,26.563,1606.255,0.0,0.0,0.0,0.0,0.0,0.0,2.0227403846153846,-0.25574038461538473,0.003619668195881786,0,2000,0.0,-35.598308653846175,1.0508270635125023,9.972525192336379
Brazil,rice,2000,28.793,1755.255,353.542,89.492,2.928,459773.94,1346161.22,0,True,Synthetic,False,False,False,0,-0.10782338878460754,0.01639454407247239,0.33621,0.66379,,,,,,,2.928,0.0,0.0,0.0,0.0,28.793,1755.255,0.0,0.0,0.0,0.0,2.0227403846153846,0.9052596153846153,0.003619668195881786,0,2000,0.0,-27.543308653846225,1.1660634349549663,2.9698128773981067
Brazil,soybean,2000,22.094,1869.504,351.353,76.945,1.055,466922.44,492530.38,4,True,Synthetic,False,False,False,0,-0.5735644939490653,0.011811789763614513,0.53718,0.46282000000000006,,,,,,,1.055,0.0,0.0,0.0,0.0,0.0,0.0,22.094,1869.504,0.0,0.0,2.0227403846153846,-0.9677403846153847,0.003619668195881786,0,2000,0.0,-29.73230865384619,1.1350090646344164,17.053396566980705
Brazil,wheat,2000,26.674,1768.689,352.698,82.146,0.6,629329.43,377597.66,4,True,Synthetic,False,False,False,0,-0.24770524265573407,0.015072704865092114,0.39977999999999997,0.60022,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.674,1768.689,2.0227403846153846,-1.4227403846153845,0.003619668195881786,0,2000,0.0,-28.38730865384622,1.1541128175757116,7.031685178444198
China,maize,2000,14.981,656.516,343.969,63.396,3.086,477326.81,1473115.41,1,True,Synthetic,False,False,False,0,-0.5811455043700655,0.02278423642922758,0.84943,0.2280361818181818,,,,,,,3.086,0.0,0.0,14.981,656.516,0.0,0.0,0.0,0.0,0.0,0.0,2.0494038461538464,1.0365961538461534,0.007203552757921691,0,2000,0.0,-37.116308653846204,1.0288096693218154,21.56997591299448
China,rice,2000,13.825,616.228,352.566,69.966,2.05,369732.13,757959.67,2,True,Synthetic,False,False,False,0,-0.5206657768616476,0.02239853020277758,0.81475,0.23341581818181814,,,,,,,2.05,0.0,0.0,0.0,0.0,13.825,616.228,0.0,0.0,0.0,0.0,2.0494038461538464,0.0005961538461534133,0.007203552757921691,0,2000,0.0,-28.519308653846224,1.1522411779976052,14.849027995811953
China,soybean,2000,9.616,542.671,347.205,72.96,0.6,405834.16,243500.5,3,True,Synthetic,False,False,False,0,-0.8046469536208258,0.017687167422945124,0.68848,0.31685018181818175,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.616,542.671,0.0,0.0,2.0494038461538464,-1.4494038461538463,0.007203552757921691,0,2000,0.0,-33.880308653846214,1.0756289021745609,27.261687146050658
China,wheat,2000,10.392,692.058,349.76,71.099,0.6,489675.3,293805.18,1,True,Synthetic,False,False,False,0,-0.7882661436265866,0.014994416051759015,0.71176,0.39155490909090906,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.392,692.058,2.0494038461538464,-1.4494038461538463,0.007203552757921691,0,2000,0.0,-31.325308653846207,1.1122880090946206,24.692680250479892
India,maize,2000,25.507,1018.351,357.228,79.616,3.245,516611.66,1676202.59,3,True,Synthetic,False,False,False,0,0.05349516493552803,0.025022784104788243,0.4941710909090909,0.5058289090909092,,,,,,,3.245,0.0,0.0,25.507,1018.351,0.0,0.0,0.0,0.0,0.0,0.0,3.1282403846153843,0.11675961538461577,0.0038821348554358027,0,2000,0.0,-23.85730865384619,1.2179231510948245,-1.276250661355302
India,rice,2000,24.714,1021.873,345.419,73.346,4.251,321058.38,1364855.48,1,True,Synthetic,False,False,False,0,-0.14679432871366738,0.02416135727504783,0.5153996363636364,0.4846003636363637,,,,,,,4.251,0.0,0.0,0.0,0.0,24.714,1021.873,0.0,0.0,0.0,0.0,3.1282403846153843,1.122759615384616,0.0038821348554358027,0,2000,0.0,-35.666308653846215,1.0498428485799414,5.235611836535821
India,soybean,2000,22.322,845.788,346.616,70.712,2.368,294686.11,697723.35,0,True,Synthetic,False,False,False,0,-0.19773969615521098,0.026360789241226847,0.7152214545454546,0.2847785454545454,,,,,,,2.368,0.0,0.0,0.0,0.0,0.0,0.0,22.322,845.788,0.0,0.0,3.1282403846153843,-0.7602403846153845,0.0038821348554358027,0,2000,0.0,-34.46930865384621,1.0671396788519554,6.815950619891734
India,wheat,2000,22.65,979.741,350.095,67.384,1.626,697563.07,1134483.76,3,True,Synthetic,True,False,False,1,-0.18911747298967807,0.023094782414521262,0.6079610909090909,0.39203890909090905,,,,,,,1.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.65,979.741,3.1282403846153843,-1.5022403846153844,0.0038821348554358027,0,2000,0.0,-30.99030865384617,1.1170747152778406,5.86080885978554
Indonesia,maize,2000,24.699,2443.606,348.395,78.033,1.553,270339.4,419888.07,4,True,Synthetic,False,False,False,0,-0.6977406055969244,0.010103468616210547,0.45902999999999994,0.5409700000000001,,,,,,,1.553,0.0,0.0,24.699,2443.606,0.0,0.0,0.0,0.0,0.0,0.0,1.2742980769230767,0.2787019230769232,0.002600869518830686,0,2000,0.0,-32.690308653846216,1.0927364519289775,22.809355757285037
Indonesia,rice,2000,27.372,2623.173,355.648,88.181,2.685,320025.84,859296.21,2,True,Synthetic,False,False,False,0,-0.522643639724486,0.010430714743273405,0.37883999999999995,0.62116,,,,,,,2.685,0.0,0.0,0.0,0.0,27.372,2623.173,0.0,0.0,0.0,0.0,1.2742980769230767,1.4107019230769233,0.002600869518830686,0,2000,0.0,-25.437308653846173,1.195759372441033,13.29464757964133
Indonesia,soybean,2000,28.835,2447.986,349.922,92.078,0.6,289255.23,173553.14,8,True,Synthetic,False,False,True,1,-0.43893397399407835,0.011774260857350758,0.3349499999999999,0.66505,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,28.835,2447.986,0.0,0.0,1.2742980769230767,-0.6742980769230768,0.002600869518830686,0,2000,0.0,-31.163308653846173,1.1146033466750478,13.678634910236752
Indonesia,wheat,2000,24.595,2583.167,347.796,80.395,0.6,390142.29,234085.37,5,True,Synthetic,False,False,False,0,-0.769313211059135,0.009517573748136247,0.46215000000000006,0.5378499999999999,,,,,,,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.595,2583.167,1.2742980769230767,-0.6742980769230768,0.002600869518830686,0,2000,0.0,-33.289308653846206,1.0841324891111648,25.609904934429075
Mexico,maize,2000,24.035,556.262,355.386,62.944,3.753,214428.34,804843.71,3,True,Synthetic,False,False,False,0,0.13524199370941076,0.04313052029386537,0.87895,0.12560418181818178,,,,,,,3.753,0.0,0.0,24.035,556.262,0.0,0.0,0.0,0.0,0.0,0.0,3.7265480769230765,0.026451923076923567,0.005553147338098775,0,2000,0.0,-25.699308653846174,1.1920745977065232,-3.47562573929967
Mexico,rice,2000,23.245,796.294,352.508,51.911,4.804,298643.84,1434754.25,1,True,Synthetic,False,False,False,0,-0.047333507462222146,0.029154866335379424,0.7235270909090908,0.27647290909090916,,,,,,,4.804,0.0,0.0,0.0,0.0,23.245,796.294,0.0,0.0,0.0,0.0,3.7265480769230765,1.0774519230769237,0.005553147338098775,0,2000,0.0,-28.577308653846217,1.1514185693050316,1.3526642524170553
